"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","DNK","Denmark","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,19600024,,
"AUS","Australia","EXP","Exports","DNK","Denmark","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,44953922,,
"AUS","Australia","EXP","Exports","DNK","Denmark","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,15932894,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,8265237,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,73307626,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,83613493,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,8558624,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,8336476,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,133668884,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,156415764,,
"AUS","Australia","EXP","Exports","FIN","Finland","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,167850764,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,540137735,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,241903113,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,241057565,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,345772741,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,629527580,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,582710614,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,321555630,,
"AUS","Australia","EXP","Exports","FRA","France","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,539550495,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,365738329,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,658831372,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,252541562,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,488025848,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,799269156,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,921643191,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,414057195,,
"AUS","Australia","EXP","Exports","DEU","Germany","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,584173776,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,8666313,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,9404016,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,7350198,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,3209583,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,14746366,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,9210664,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,6462104,,
"AUS","Australia","EXP","Exports","GRC","Greece","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,3959993,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,8213719,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,8599661,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,6447021,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,9417942,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,8615235,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,7610012,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,8049948,,
"AUS","Australia","EXP","Exports","HUN","Hungary","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,5900687,,
